Week,TEMPERATURE
1,14.04
2,14.63
3,14.21
4,13.79
5,13.589999999999998
6,13.0825
7,12.575
8,12.837499999999999
9,13.1
10,13.09
11,13.08
12,13.07
13,13.06
14,13.05
15,12.65
16,12.82
17,15.045
18,15.5825
19,16.12
20,16.0
21,16.35
22,19.68
23,21.49
24,22.401666666666667
25,23.313333333333333
26,24.225
27,26.49
28,26.046666666666667
29,25.42
30,25.79
31,27.17333333333333
32,28.7625
33,28.19
34,26.05
35,26.4675
36,26.208750000000002
37,25.95
38,26.12
39,25.9775
40,24.366666666666664
41,22.646666666666665
42,23.79
43,22.39333333333333
44,20.8
45,18.68
46,18.380000000000003
47,17.9525
48,17.525
49,17.169999999999998
50,16.814999999999998
51,16.356666666666666
52,15.830000000000002
53,15.15
54,14.965
55,14.744
56,14.14
57,13.575
58,13.3
59,13.405
60,13.113333333333337
61,13.066666666666668
62,13.297999999999998
63,13.81
64,13.83
65,14.096666666666666
66,14.0825
67,14.046666666666669
68,14.3575
69,14.85875
70,15.36
71,15.3875
72,16.305
73,16.3775
74,17.009999999999998
75,18.372
76,20.02
77,19.78333333333333
78,22.2275
79,23.672857142857143
80,25.585
81,24.661666666666665
82,25.90571428571429
83,26.495
84,25.8525
85,27.445
86,26.366000000000003
87,26.37333333333333
88,26.8625
89,25.736
90,24.72
91,24.715
92,24.5025
93,23.59
94,22.61
95,22.0175
96,21.0775
97,20.8
98,18.98333333333333
99,16.6075
100,15.91
101,15.88
102,14.815
103,15.125
104,14.876666666666669
105,14.868
106,14.7
107,14.503333333333332
108,14.1925
109,13.435
110,13.996666666666668
111,13.95
112,14.14
113,14.104285714285714
114,13.955
115,13.8175
116,14.205
117,14.23
118,14.245
119,15.4
120,15.510000000000002
121,16.3
122,17.673333333333336
123,17.419999999999998
124,20.065
125,19.130000000000003
126,20.80666666666667
127,21.598000000000003
128,20.493333333333336
129,21.44666666666667
130,21.835
131,25.093333333333334
132,25.935
133,25.4225
134,25.216
135,26.67
136,27.345
137,26.4
138,27.39333333333333
139,27.41142857142857
140,27.326666666666668
141,26.0625
142,25.37
143,25.338
144,24.746666666666663
145,20.676666666666662
146,19.645
147,19.918333333333333
148,19.546666666666667
149,19.176
150,18.75
151,18.563333333333333
152,18.21
153,17.593333333333334
154,16.75
155,15.6
156,15.14
157,14.656
158,14.06
159,13.39
160,13.105
161,13.015
162,13.12
163,12.95
164,12.735
165,12.87
166,13.59
167,13.567
168,13.544
169,13.382
170,14.0775
171,14.41
172,14.18
173,13.19
174,13.753333333333336
175,14.829166666666667
176,15.905
177,15.8475
178,17.88
179,19.192
180,20.6975
181,22.86
182,23.8525
183,23.15
184,23.355
185,25.04
186,23.831666666666667
187,26.526
188,25.732
189,25.8
190,26.30666666666667
191,25.538
192,25.700000000000003
193,25.7325
194,26.435
195,25.765
196,24.33
197,23.83
198,23.266
199,21.96333333333333
200,21.518
201,20.91333333333333
202,18.916
203,18.616666666666667
204,17.506666666666664
205,16.430000000000003
206,15.71
207,15.13
208,14.63
209,14.66
210,14.6975
211,14.5
212,13.8425
213,13.71
214,13.44
215,13.3975
216,13.485
217,13.504
218,13.525
219,13.803333333333333
220,13.35
221,13.048333333333334
222,12.746666666666666
223,12.445
224,12.98
225,14.6075
226,14.59
227,16.59
228,16.4625
229,19.11
230,21.46666666666667
231,20.636000000000003
232,22.304
233,23.838
234,25.526666666666667
235,25.7675
236,24.76
237,24.313333333333333
238,25.56222222222222
239,26.81111111111111
240,28.06
241,28.0625
242,28.064999999999998
243,28.0675
244,28.07
245,27.33
246,26.935
247,26.540000000000003
248,26.145000000000003
249,22.67
250,22.37
251,22.07
252,21.770000000000003
253,21.470000000000002
254,21.17
255,20.87
256,19.515
257,18.122500000000002
258,16.73
259,17.03
260,16.07
261,15.48
262,15.87
263,15.54
264,15.1
265,14.76
266,13.57
267,13.381666666666668
268,13.193333333333333
269,13.005
270,13.15
271,12.84
272,13.48
273,13.898333333333333
274,14.316666666666666
275,14.735
276,14.23
277,15.73
278,17.01
279,18.29
280,19.57
281,18.05666666666667
282,17.945
283,19.5725
284,21.200000000000003
285,21.855000000000004
286,22.51
287,23.165000000000003
288,23.82
289,24.475
290,25.130000000000003
291,25.785
292,26.44
293,27.095
294,27.75
295,27.197499999999998
296,26.645
297,26.0925
298,25.54
299,26.46
300,25.916666666666668
301,25.37333333333333
302,24.83
303,23.104999999999997
304,21.38
305,20.32
306,17.445
307,16.22
308,16.05
309,15.88
310,15.71
311,15.3475
312,14.985
313,14.6225
314,14.26
315,14.1375
316,14.015
317,13.97
318,13.922
319,13.874
320,13.826
321,13.778
322,13.73
323,13.71
324,13.69
325,13.993333333333332
326,14.296666666666667
327,14.6
328,14.87
329,16.012857142857143
330,15.744
331,15.52
332,16.104000000000003
333,17.811666666666667
334,18.46666666666667
335,18.96
336,20.5625
337,20.925
338,22.42
339,23.01
340,23.85
341,24.102857142857143
342,25.691666666666663
343,26.464
344,26.70142857142857
345,28.23
346,28.248
347,27.69
348,27.185
349,27.16
350,26.635
351,24.131666666666664
352,23.73
353,23.768
354,23.26
355,22.67
356,22.2925
357,22.215
358,21.31083333333333
359,20.406666666666663
360,19.41333333333333
361,19.045
362,18.25
363,16.595
364,16.32
